ID,Date,CustomerID,ProductID,Quantity,UnitPrice,Revenue,Category,SupplierID,FactSales_DateKey,FactSales_CustomerKey,FactSales_ProductKey,FactSales_Quantity,FactSales_Revenue,DimDate_DateKey,DimDate_Date,DimDate_Day,DimDate_Month,DimDate_Year,DimCustomer_CustomerKey,DimCustomer_FirstName,DimCustomer_LastName,DimCustomer_Gender,DimCustomer_Age,DimCustomer_City,DimCustomer_Country,DimProduct_ProductKey,DimProduct_ProductName,DimProduct_Category,DimProduct_SupplierID,DimProduct_UnitPrice,FirstName,LastName,Gender,Age,City,EmployeeID,Shift,HoursWorked,Recency,Frequency,Monetary,ProfitMargin
ID,Date,CustomerID,ProductID,Quantity,UnitPrice,Revenue,Category,SupplierID,FactSales_DateKey,FactSales_CustomerKey,FactSales_ProductKey,FactSales_Quantity,FactSales_Revenue,DimDate_DateKey,DimDate_Date,DimDate_Day,DimDate_Month,DimDate_Year,DimCustomer_CustomerKey,DimCustomer_FirstName,DimCustomer_LastName,DimCustomer_Gender,DimCustomer_Age,DimCustomer_City,DimCustomer_Country,DimProduct_ProductKey,DimProduct_ProductName,DimProduct_Category,DimProduct_SupplierID,DimProduct_UnitPrice,FirstName,LastName,Gender,Age,City,EmployeeID,Shift,HoursWorked,Recency,Frequency,Monetary,ProfitMargin
1,4/12/2024,7888,296,8,47.83,438.11,Clothing,341,4/12/2024,6042,241,4,120.58,1,4/12/2024,Thursday,July,1989,9047,James,Romero,Male,44,Islamabad,Pakistan,239,pretty,Home Decor,370,35.77,Nancy,Suarez,Female,26,Lahore,491,Day,10,63,4,374.68,0.15
2,7/20/2016,3208,231,2,34.52,154.5,Electronics,384,7/20/2016,5651,296,7,60.57,2,7/20/2016,Tuesday,October,1981,9608,Donna,Wilson,Female,23,Islamabad,Pakistan,261,set,Beauty,345,49.72,Paul,Perry,Male,33,Karachi,490,Day,7,210,8,752.56,0.11
3,12/21/2014,6119,227,2,35.14,58.33,Home Decor,348,12/21/2014,9134,269,9,192.56,3,12/21/2014,Sunday,March,1981,3626,Angela,Carter,Male,65,Islamabad,Pakistan,210,way,Home Decor,319,45.67,Sherry,Cole,Male,50,Faisalabad,487,Night,8,364,5,263.25,0.12
4,3/21/2020,4106,277,9,6.88,369.87,Beauty,303,3/21/2020,1627,265,7,97.08,4,3/21/2020,Tuesday,January,2016,9598,Lisa,Delgado,Male,51,Karachi,Pakistan,281,seem,Home Decor,340,14.57,Jaclyn,Kim,Female,62,Islamabad,466,Night,6,318,10,147.16,0.32
5,3/1/2017,3776,297,9,32.84,377.02,Beauty,358,3/1/2017,1373,297,8,186.76,5,3/1/2017,Sunday,April,1999,1448,Stephanie,Walker,Female,69,Karachi,Pakistan,257,important,Beauty,367,32.59,Daniel,Byrd,Female,65,Faisalabad,411,Day,9,350,3,313.78,0.35
6,10/7/2015,4507,219,8,14.14,315.73,Beauty,324,10/7/2015,2881,279,9,219.42,6,10/7/2015,Wednesday,May,1970,6078,John,Coleman,Male,20,Faisalabad,Pakistan,238,arm,Beauty,303,35.59,Yvette,Brown,Male,27,Faisalabad,434,Day,5,259,8,318.29,0.37
7,4/23/2019,9703,299,10,39.35,309.99,Electronics,378,4/23/2019,9704,287,10,224.57,7,4/23/2019,Saturday,January,1985,9432,Sergio,Smith,Male,37,Lahore,Pakistan,295,care,Clothing,366,39.14,April,Fernandez,Male,65,Islamabad,420,Day,12,53,5,346.32,0.41
8,11/21/2023,6516,206,7,6.21,299.61,Beauty,307,11/21/2023,3049,280,2,498.71,8,11/21/2023,Thursday,September,1988,6193,Lori,Taylor,Male,54,Faisalabad,Pakistan,255,affect,Clothing,316,32.15,Mark,Ryan,Female,62,Faisalabad,451,Night,8,345,9,275.51,0.44
9,4/12/2024,6679,218,8,36.74,418.98,Electronics,381,4/12/2024,1157,224,1,211.39,9,4/12/2024,Sunday,January,1992,7817,Lauren,Smith,Male,51,Lahore,Pakistan,211,risk,Home Decor,349,47.36,Michael,Manning,Female,36,Faisalabad,498,Day,7,270,5,994.58,0.16
10,12/21/2018,1882,254,3,12.38,261.89,Electronics,335,12/21/2018,4487,205,1,137.45,10,12/21/2018,Thursday,June,1973,4774,Jennifer,Fritz,Male,26,Islamabad,Pakistan,247,year,Clothing,333,34.74,Sandra,Wade,Female,59,Karachi,418,Day,7,95,6,538.82,0.37
11,2/27/2023,4151,218,8,17.59,161.69,Electronics,356,2/27/2023,8282,243,5,307.25,11,2/27/2023,Thursday,July,1986,4889,Melissa,Sanchez,Female,19,Karachi,Pakistan,210,development,Beauty,377,23.92,Jordan,Carpenter,Male,57,Islamabad,431,Day,8,22,3,351.01,0.29
12,9/24/2020,8621,230,9,49.07,342.98,Home Decor,310,9/24/2020,7804,243,9,345.6,12,9/24/2020,Monday,February,1999,2477,Angela,Walker,Female,48,Karachi,Pakistan,278,may,Electronics,327,29.37,Tiffany,Cannon,Male,46,Lahore,440,Night,9,102,3,820.89,0.17
13,11/29/2021,4629,219,8,24.17,406.79,Beauty,361,11/29/2021,6836,213,5,364.33,13,11/29/2021,Saturday,November,1988,3370,Daniel,Benjamin,Male,57,Islamabad,Pakistan,209,full,Clothing,389,8.3,Rebecca,Hodges,Male,54,Lahore,404,Night,7,279,5,619.29,0.47
14,4/29/2019,9119,261,10,31.97,391,Electronics,362,4/29/2019,8192,206,8,107.28,14,4/29/2019,Monday,January,2007,7542,Veronica,Perez,Male,36,Islamabad,Pakistan,209,own,Beauty,345,27.98,Jennifer,Chen,Male,63,Islamabad,446,Night,6,111,6,377.8,0.47
15,1/15/2018,4940,269,10,35.51,97.57,Home Decor,326,1/15/2018,9441,240,8,103.94,15,1/15/2018,Friday,April,1983,5092,Lisa,Willis,Female,69,Lahore,Pakistan,204,region,Beauty,334,46.83,Melissa,Valenzuela,Male,54,Lahore,442,Night,4,289,3,656.25,0.48
16,12/3/2016,3663,285,10,31.3,370.61,Clothing,392,12/3/2016,7604,244,8,294.1,16,12/3/2016,Sunday,April,1999,2027,David,Ramirez,Female,38,Faisalabad,Pakistan,293,among,Beauty,363,19.82,Timothy,Brown,Female,38,Karachi,446,Night,10,326,5,302.3,0.18
17,11/18/2015,9652,276,1,6.92,386.88,Beauty,373,11/18/2015,6492,272,5,422.1,17,11/18/2015,Wednesday,April,1975,3250,Amber,Rodriguez,Female,45,Karachi,Pakistan,280,early,Electronics,307,7.48,Tyler,Morris,Female,30,Faisalabad,412,Night,11,341,2,104.08,0.4
18,1/24/2018,2136,222,9,18.03,266.93,Beauty,301,1/24/2018,4375,264,9,282.99,18,1/24/2018,Friday,April,1991,9337,Laura,Smith,Male,35,Lahore,Pakistan,294,I,Clothing,374,37.89,Felicia,Simmons,Male,52,Lahore,408,Day,9,192,2,403.07,0.46
19,1/3/2017,1384,229,8,27.02,209.67,Beauty,354,1/3/2017,3226,242,4,306.14,19,1/3/2017,Tuesday,May,1988,1928,Michelle,Martinez,Male,27,Lahore,Pakistan,284,beat,Beauty,395,30.67,Joshua,Thompson,Female,67,Faisalabad,442,Night,9,176,6,571.82,0.36
20,6/27/2017,9208,238,9,20.52,159.2,Electronics,308,6/27/2017,4168,201,10,229.55,20,6/27/2017,Tuesday,July,2012,1066,Peter,Dudley,Female,62,Islamabad,Pakistan,218,two,Beauty,369,38.31,Cody,Wilson,Female,59,Lahore,415,Night,11,229,6,935.48,0.3
21,11/6/2019,3360,218,5,35.03,128.74,Beauty,376,11/6/2019,4367,236,9,192.41,21,11/6/2019,Sunday,June,2019,2586,Jessica,Gallagher,Male,20,Faisalabad,Pakistan,296,page,Electronics,380,49.34,Laurie,Hall,Female,31,Karachi,431,Night,5,185,9,332.55,0.43
22,5/3/2023,8877,230,8,22.33,373.78,Electronics,351,5/3/2023,6514,203,6,279.7,22,5/3/2023,Thursday,July,1985,1420,Donald,Miller,Female,22,Lahore,Pakistan,211,wind,Clothing,350,34.63,Randy,Clark,Female,69,Lahore,414,Night,7,129,7,138.82,0.23
23,4/19/2018,1218,269,7,9.85,209.32,Clothing,342,4/19/2018,1091,216,10,438.51,23,4/19/2018,Monday,January,2006,8156,Richard,Lyons,Female,66,Faisalabad,Pakistan,223,create,Clothing,306,41.32,Phillip,Weber,Male,63,Islamabad,407,Night,10,84,2,403.49,0.26
24,3/29/2015,4880,232,6,42.73,314.25,Home Decor,346,3/29/2015,3250,205,7,367.81,24,3/29/2015,Saturday,May,1977,3943,Andrea,Weaver,Female,67,Faisalabad,Pakistan,232,exactly,Clothing,331,42.41,Cynthia,Dyer,Female,54,Islamabad,413,Night,4,152,9,504.87,0.41
25,5/22/2019,6826,214,10,13.6,124.23,Beauty,343,5/22/2019,1197,238,9,382.56,25,5/22/2019,Sunday,July,1985,7641,Alexis,Clark,Female,22,Karachi,Pakistan,275,bring,Beauty,335,33.78,Holly,Holmes,Female,35,Islamabad,420,Day,5,235,1,124.34,0.4
26,8/18/2018,7941,227,6,9.79,369.58,Home Decor,368,8/18/2018,5112,224,7,84.4,26,8/18/2018,Saturday,January,2023,9014,Lawrence,Stone,Male,39,Karachi,Pakistan,248,general,Beauty,321,44.03,Mark,Williams,Male,54,Faisalabad,405,Day,12,245,8,160.78,0.24
27,5/26/2022,4102,282,4,31.37,388.14,Electronics,397,5/26/2022,1343,208,1,318.38,27,5/26/2022,Tuesday,December,1984,7459,Robin,Rivera,Male,46,Faisalabad,Pakistan,232,summer,Clothing,392,23.82,Andrea,Hogan,Female,58,Karachi,480,Night,8,155,3,761.96,0.45
